title,budget,dom_gross,intl_gross,disc_gross,release_date
Twilight (2008),"$37,000,000","$192,769,854","$402,280,159","$264,945,708","November 21st, 2008 (Wide) by "
The Master (2012),"$37,500,000","$16,247,159","$58,792,011","$3,683,491","September 14th, 2012 (Limited) by "
What to Expect When You're Expecting (2012),"$37,500,000","$41,152,203","$88,473,016","$7,835,732","May 18th, 2012 (Wide) by "
Snowpiercer (2013),"$40,000,000","$4,563,029","$88,069,880","$3,740,854","June 27th, 2014 (Limited) by "
Paranoia (2013),"$40,000,000","$7,388,654","$16,340,767","$917,718","August 16th, 2013 (Wide) by "
Pandorum (2009),"$40,000,000","$10,330,853","$17,033,431","$8,389,569","September 25th, 2009 (Wide) by "
The Gunman (2015),"$40,000,000","$10,664,749","$13,644,292","$2,536,135","March 20th, 2015 (Wide) by "
Amelia (2009),"$40,000,000","$14,279,575","$19,756,077","$7,469,396","October 23rd, 2009 (Wide) by "
The Impossible (2012),"$40,000,000","$19,019,882","$169,590,606","$9,891,324","December 21st, 2012 (Limited) by "
Season of the Witch (2011),"$40,000,000","$24,827,228","$91,126,600","$10,310,998","January 7th, 2011 (Wide) by "
Resident Evil: The Final Chapter (2016),"$40,000,000","$26,844,692","$307,353,906","$9,148,880","January 27th, 2017 (Wide) by "
The Nut Job 2: Nutty by Nature (2017),"$40,000,000","$28,370,522","$57,975,035","$3,565,003","August 11th, 2017 (Wide) by "
Colombiana (2011),"$40,000,000","$36,665,854","$72,295,262","$16,326,996","August 26th, 2011 (Wide) by "
Scream 4 (2011),"$40,000,000","$38,180,928","$95,989,590","$7,422,374","April 15th, 2011 (Wide) by "
Escape From Planet Earth (2013),"$40,000,000","$57,012,977","$74,156,610","$11,303,317","February 15th, 2013 (Wide) by "
The Lincoln Lawyer (2011),"$40,000,000","$58,009,200","$87,145,086","$20,250,872","March 18th, 2011 (Wide) by "
Hacksaw Ridge (2016),"$40,000,000","$67,209,615","$158,701,644","$28,297,237","November 4th, 2016 (Wide) by "
The Other Woman (2014),"$40,000,000","$83,911,193","$195,111,193","$17,925,100","April 25th, 2014 (Wide) by "
John Wick: Chapter Two (2017),"$40,000,000","$92,029,184","$171,529,184","$30,253,326","February 10th, 2017 (Wide) by "
The Warrior's Way (2010),"$42,000,000","$5,666,340","$8,514,325","$4,692,528","December 3rd, 2010 (Wide) by "
Man on a Ledge (2012),"$42,000,000","$18,620,000","$45,688,337","$7,634,043","January 27th, 2012 (Wide) by "
The Mechanic (2011),"$42,500,000","$29,121,498","$76,347,393","$18,126,659","January 28th, 2011 (Wide) by "
A Monster Calls (2016),"$43,000,000","$3,740,823","$46,422,066","$3,147,751","December 23rd, 2016 (Oscar Qualifying Run) by "
The Rum Diary (2011),"$45,000,000","$13,109,815","$21,544,732","$7,650,673","October 28th, 2011 (Wide) by "
Dredd (2012),"$45,000,000","$13,414,714","$41,467,606","$20,819,351","September 21st, 2012 (Wide) by "
The Ghost Writer (2010),"$45,000,000","$15,541,549","$65,532,491","$5,900,603","February 19th, 2010 (Limited) by "
All Eyez on Me (2016),"$45,000,000","$44,922,302","$54,876,855","$2,262,872","June 16th, 2017 (Wide) by "
The Girl on the Train (2016),"$45,000,000","$75,395,035","$170,327,930","$9,382,663","October 7th, 2016 (Wide) by "
Rambo (2008),"$47,500,000","$42,754,105","$112,214,531","$41,776,036","January 25th, 2008 (Wide) by "
Anna Karenina (2012),"$49,000,000","$12,816,367","$71,004,627","$6,331,944","November 16th, 2012 (Limited) by "
Shanghai (2012),"$50,000,000","$46,425","$15,505,922","$17,797","October 2nd, 2015 (Limited) by "
Upside Down (2012),"$50,000,000","$102,118","$26,387,039","$3,042,835","March 15th, 2013 (Limited) by "
Drive Angry (2011),"$50,000,000","$10,721,033","$41,042,583","$8,706,465","February 25th, 2011 (Wide) by "
Gamer (2009),"$50,000,000","$20,534,907","$42,002,029","$16,829,131","September 4th, 2009 (Wide) by "
Free State of Jones (2016),"$50,000,000","$20,810,036","$23,151,917","$6,402,859","June 24th, 2016 (Wide) by "
Snowden (2015),"$50,000,000","$21,587,519","$34,301,950","$3,798,158","September 16th, 2016 (Wide) by "
The Twilight Saga: New Moon (2009),"$50,000,000","$296,623,634","$687,557,727","$222,119,949","November 20th, 2009 (Wide) by "
Law Abiding Citizen (2009),"$53,000,000","$73,357,727","$131,159,781","$33,405,627","October 16th, 2009 (Wide) by "
Burlesque (2010),"$55,000,000","$39,440,655","$90,552,675","$40,927,241","November 24th, 2010 (Wide) by "
Kubo and the Two Strings (2016),"$55,000,000","$48,023,088","$77,548,564","$9,775,408","August 19th, 2016 (Wide) by "
The Forbidden Kingdom (2008),"$55,000,000","$52,075,270","$129,075,270","$31,666,234","April 18th, 2008 (Wide) by "
Free Birds (2013),"$55,000,000","$55,750,480","$110,387,072","$18,199,426","November 1st, 2013 (Wide) by "
Paddington (2014),"$55,000,000","$76,223,578","$259,541,430","$21,968,713","January 16th, 2015 (Wide) by "
Resident Evil: Afterlife (2010),"$57,500,000","$60,128,566","$295,874,190","$35,609,103","September 10th, 2010 (Wide) by "
Rock Dog (2016),"$60,000,000","$9,420,546","$20,830,546","$2,337,289","February 24th, 2017 (Wide) by "
Priest (2011),"$60,000,000","$29,136,626","$84,154,026","$13,070,860","May 13th, 2011 (Wide) by "
The Mortal Instruments: City of Bones (2013),"$60,000,000","$31,165,421","$75,965,567","$13,725,902","August 21st, 2013 (Wide) by "
The Boxtrolls (2014),"$60,000,000","$50,837,305","$111,946,251","$19,475,743","September 26th, 2014 (Wide) by "
ParaNorman (2012),"$60,000,000","$56,003,051","$108,119,662","$24,253,385","August 17th, 2012 (Wide) by "
London Has Fallen (2016),"$60,000,000","$62,524,260","$193,857,962","$17,335,168","March 4th, 2016 (Wide) by "
Coraline (2009),"$60,000,000","$75,286,229","$126,037,057","$62,598,914","February 6th, 2009 (Wide) by "
Red (2010),"$60,000,000","$90,380,162","$196,439,693","$62,060,478","October 15th, 2010 (Wide) by "
Astro Boy (2009),"$65,000,000","$19,551,067","$41,636,243","$10,236,610","October 23rd, 2009 (Wide) by "
Resident Evil: Retribution (2012),"$65,000,000","$42,345,531","$238,940,997","$22,235,018","September 14th, 2012 (Wide) by "
The Twilight Saga: Eclipse (2010),"$68,000,000","$300,531,751","$706,102,828","$213,761,978","June 30th, 2010 (Wide) by "
Killer Elite (2011),"$70,000,000","$25,124,986","$65,409,046","$11,874,434","September 23rd, 2011 (Wide) by "
Escape Plan (2013),"$70,000,000","$25,135,965","$103,735,965","$15,176,483","October 18th, 2013 (Wide) by "
Olympus Has Fallen (2013),"$70,000,000","$98,927,592","$150,562,164","$38,568,492","March 22nd, 2013 (Wide) by "
